   0.0 TEL | Telepresence 0.93 launched at Fri Nov  2 14:50:33 2018
   0.0 TEL |   /usr/local/bin/telepresence --namespace convox --run-shell
   0.0 TEL | Platform: darwin
   0.0 TEL | Python 3.7.0 (default, Sep 18 2018, 18:47:22)
   0.0 TEL | [Clang 9.1.0 (clang-902.0.39.2)]
   0.0 TEL | [1] Running: uname -a
   0.0   1 | Darwin OSX-0485.local 17.7.0 Darwin Kernel Version 17.7.0: Thu Jun 21 22:53:14 PDT 2018; root:xnu-4570.71.2~1/RELEASE_X86_64 x86_64
   0.0 TEL | BEGIN SPAN main.py:41(main)
   0.0 TEL | BEGIN SPAN startup.py:58(__init__)
   0.0 TEL | [2] Capturing: kubectl version --short
   0.3 TEL | [3] Capturing: kubectl config current-context
   0.3 TEL | [4] Capturing: kubectl config view -o json
   0.4 TEL | [5] Capturing: kubectl get ns convox
   0.8 TEL | Command: kubectl 1.10.8
   0.8 TEL | Context: allowing-antelope.platform.testing.opengov.zone, namespace: convox, version: 1.9.1
   0.8 TEL | END SPAN startup.py:58(__init__)    0.7s
   0.8 TEL | [6] Capturing: ssh -V
   0.8 TEL | [7] Running: sudo -n echo -n
   0.8 >>> | Starting proxy with method 'vpn-tcp', which has the following limitations: All processes are affected, only one telepresence can run per machine, and you can't use other VPNs. You may need to add cloud hosts and headless services with --also-proxy. For a full list of method limitations see https://telepresence.io/reference/methods.html
   0.8 >>> | Volumes are rooted at $TELEPRESENCE_ROOT. See https://telepresence.io/howto/volumes.html for details.
   0.8 TEL | [8] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox get pods telepresence-connectivity-check --ignore-not-found
   1.6 TEL | Scout info: {'latest_version': '0.93', 'application': 'telepresence', 'notices': []}
   1.6 TEL | BEGIN SPAN deployment.py:44(create_new_deployment)
   1.6 TEL | [9] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox delete --ignore-not-found svc,deploy --selector=telepresence=75fff44fd92647339c2a68eb71a202e8
   1.9 TEL | [10] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox run --restart=Always --limits=cpu=100m,memory=256Mi --requests=cpu=25m,memory=64Mi telepresence-1541195433-32362-10622 --image=datawire/telepresence-k8s:0.93 --labels=telepresence=75fff44fd92647339c2a68eb71a202e8
   2.3 TEL | END SPAN deployment.py:44(create_new_deployment)    0.7s
   2.3 TEL | BEGIN SPAN remote.py:149(get_remote_info)
   2.3 TEL | BEGIN SPAN remote.py:73(get_deployment_json)
   2.3 TEL | [11] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox get deployment -o json --export --selector=telepresence=75fff44fd92647339c2a68eb71a202e8
   2.6 TEL | END SPAN remote.py:73(get_deployment_json)    0.3s
   2.6 TEL | Searching for Telepresence pod:
   2.6 TEL |   with name telepresence-1541195433-32362-10622-*
   2.6 TEL |   with labels {'telepresence': '75fff44fd92647339c2a68eb71a202e8'}
   2.6 TEL | [12] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox get pod -o json --export --selector=telepresence=75fff44fd92647339c2a68eb71a202e8
   2.9 TEL | Checking telepresence-1541195433-32362-10622-658dccbb75-v72hz
   2.9 TEL | Looks like we've found our pod!
   2.9 TEL | BEGIN SPAN remote.py:111(wait_for_pod)
   2.9 TEL | [13] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox get pod telepresence-1541195433-32362-10622-658dccbb75-v72hz -o json
   3.3 TEL | [14] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox get pod telepresence-1541195433-32362-10622-658dccbb75-v72hz -o json
   3.9 TEL | [15] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox get pod telepresence-1541195433-32362-10622-658dccbb75-v72hz -o json
   4.4 TEL | [16] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox get pod telepresence-1541195433-32362-10622-658dccbb75-v72hz -o json
   5.0 TEL | [17] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox get pod telepresence-1541195433-32362-10622-658dccbb75-v72hz -o json
   5.5 TEL | [18] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox get pod telepresence-1541195433-32362-10622-658dccbb75-v72hz -o json
   6.1 TEL | [19] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox get pod telepresence-1541195433-32362-10622-658dccbb75-v72hz -o json
   6.6 TEL | [20] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox get pod telepresence-1541195433-32362-10622-658dccbb75-v72hz -o json
   7.1 TEL | [21] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox get pod telepresence-1541195433-32362-10622-658dccbb75-v72hz -o json
   7.6 TEL | [22] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox get pod telepresence-1541195433-32362-10622-658dccbb75-v72hz -o json
   8.2 TEL | [23] Capturing: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox get pod telepresence-1541195433-32362-10622-658dccbb75-v72hz -o json
   8.5 TEL | END SPAN remote.py:111(wait_for_pod)    5.6s
   8.5 TEL | END SPAN remote.py:149(get_remote_info)    6.1s
   8.5 TEL | BEGIN SPAN __init__.py:38(connect)
   8.5 TEL | [24] Launching kubectl logs: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox logs -f telepresence-1541195433-32362-10622-658dccbb75-v72hz --container telepresence-1541195433-32362-10622
   8.5 TEL | [25] Launching kubectl port-forward: kubectl --context allowing-antelope.platform.testing.opengov.zone --namespace convox port-forward telepresence-1541195433-32362-10622-658dccbb75-v72hz 56790:8022
   8.5 TEL | [26] Running: ssh -F /dev/null -q -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -p 56790 telepresence@localhost /bin/true
   8.5 TEL | [26] exit 255 in 0.02 secs.
